n, np, nt, maxError, used time
8192, 2, 1, 4.149922e-08, 93.770299 
8192, 3, 1, 4.149922e-08, 62.367429 
8192, 4, 1, 4.149922e-08, 47.207143 
8192, 1, 1, 4.149922e-08, 188.042534 
8192, 5, 1, 4.149922e-08, 37.617418 
8192, 6, 1, 4.149922e-08, 31.604573 
8192, 7, 1, 4.149922e-08, 26.966919 
8192, 8, 1, 4.149922e-08, 23.610727 
8192, 9, 1, 4.149922e-08, 21.282453 
8192, 10, 1, 4.149922e-08, 19.025803 
8192, 11, 1, 4.149922e-08, 17.393407 
8192, 12, 1, 4.149922e-08, 15.988898 
8192, 13, 1, 4.149922e-08, 15.140947 
8192, 14, 1, 4.149922e-08, 14.741711 
8192, 15, 1, 4.149922e-08, 14.281333 
8192, 16, 1, 4.149922e-08, 13.756818 
8192, 17, 1, 4.149922e-08, 13.251839 
8192, 18, 1, 4.149922e-08, 12.853883 
8192, 19, 1, 4.149922e-08, 12.348277 
8192, 20, 1, 4.149922e-08, 11.956717 
8192, 21, 1, 4.149922e-08, 11.581190 
8192, 22, 1, 4.149922e-08, 11.245372 
8192, 23, 1, 4.149922e-08, 10.843652 
8192, 24, 1, 4.149922e-08, 10.503247 
8192, 25, 1, 4.149922e-08, 10.228560 
8192, 26, 1, 4.149922e-08, 9.953177 
8192, 27, 1, 4.149922e-08, 9.657337 
8192, 28, 1, 4.149922e-08, 9.480465 
8192, 29, 1, 4.149922e-08, 9.204611 
8192, 30, 1, 4.149922e-08, 8.961844 
8192, 31, 1, 4.149922e-08, 8.704011 
8192, 32, 1, 4.149922e-08, 8.504352 
8192, 33, 1, 4.149922e-08, 8.294580 
8192, 34, 1, 4.149922e-08, 8.258007 
8192, 35, 1, 4.149922e-08, 8.124420 
8192, 36, 1, 4.149922e-08, 8.022655 
