n, np, nt, maxError, used time
8192, 6, 1, 4.149922e-08, 31.648069 
8192, 5, 1, 4.149922e-08, 37.908894 
8192, 4, 1, 4.149922e-08, 46.740572 
8192, 3, 1, 4.149922e-08, 62.106900 
8192, 7, 1, 4.149922e-08, 27.240381 
8192, 8, 1, 4.149922e-08, 23.923433 
8192, 9, 1, 4.149922e-08, 21.070219 
8192, 10, 1, 4.149922e-08, 18.990764 
8192, 11, 1, 4.149922e-08, 17.449606 
8192, 12, 1, 4.149922e-08, 15.952519 
8192, 2, 1, 4.149922e-08, 93.359991 
8192, 3, 2, 4.149922e-08, 32.389441 
8192, 5, 2, 4.149922e-08, 19.634184 
8192, 2, 2, 4.149922e-08, 47.702989 
8192, 4, 2, 4.149922e-08, 23.801059 
8192, 6, 2, 4.149922e-08, 16.633912 
8192, 7, 2, 4.149922e-08, 20.997939 
8192, 8, 2, 4.149922e-08, 19.330131 
8192, 9, 2, 4.149922e-08, 20.162470 
8192, 1, 2, 4.149922e-08, 95.476850 
8192, 10, 2, 4.149922e-08, 18.260062 
8192, 12, 2, 4.149922e-08, 16.130314 
8192, 11, 2, 4.149922e-08, 18.856317 
8192, 1, 1, 4.149922e-08, 188.182715 
8192, 3, 3, 4.149922e-08, 22.169643 
8192, 4, 3, 4.149922e-08, 16.308693 
8192, 2, 3, 4.149922e-08, 32.484996 
8192, 5, 3, 4.149922e-08, 19.673778 
8192, 6, 3, 4.149922e-08, 19.840313 
8192, 7, 3, 4.149922e-08, 18.893985 
8192, 8, 3, 4.149922e-08, 18.868487 
8192, 1, 3, 4.149922e-08, 64.578551 
8192, 9, 3, 4.149922e-08, 19.841976 
8192, 10, 3, 4.149922e-08, 19.059980 
8192, 11, 3, 4.149922e-08, 19.756696 
8192, 12, 3, 4.149922e-08, 20.109176 
8192, 3, 4, 4.149922e-08, 16.672964 
8192, 2, 4, 4.149922e-08, 24.647286 
8192, 4, 4, 4.149922e-08, 20.780360 
8192, 5, 4, 4.149922e-08, 18.884005 
8192, 6, 4, 4.149922e-08, 18.602259 
8192, 7, 4, 4.149922e-08, 18.700725 
8192, 1, 4, 4.149922e-08, 49.032218 
8192, 8, 4, 4.149922e-08, 18.978198 
8192, 10, 4, 4.149922e-08, 19.320325 
8192, 9, 4, 4.149922e-08, 19.705759 
8192, 11, 4, 4.149922e-08, 19.987771 
8192, 12, 4, 4.149922e-08, 21.061853 
8192, 2, 5, 4.149922e-08, 20.204032 
8192, 4, 5, 4.149922e-08, 19.774218 
8192, 3, 5, 4.149922e-08, 22.881721 
8192, 5, 5, 4.149922e-08, 19.142957 
8192, 1, 5, 4.149922e-08, 40.057138 
8192, 6, 5, 4.149922e-08, 19.522384 
8192, 7, 5, 4.149922e-08, 19.719241 
8192, 8, 5, 4.149922e-08, 19.981664 
8192, 9, 5, 4.149922e-08, 20.251401 
8192, 10, 5, 4.149922e-08, 20.157027 
8192, 11, 5, 4.149922e-08, 20.742439 
8192, 12, 5, 4.149922e-08, 22.120882 
8192, 2, 6, 4.149922e-08, 17.394988 
8192, 3, 6, 4.149922e-08, 20.172025 
8192, 1, 6, 4.149922e-08, 33.760060 
8192, 4, 6, 4.149922e-08, 19.029319 
8192, 5, 6, 4.149922e-08, 18.923580 
8192, 6, 6, 4.149922e-08, 19.122442 
8192, 7, 6, 4.149922e-08, 20.125172 
8192, 8, 6, 4.149922e-08, 20.158534 
8192, 9, 6, 4.149922e-08, 19.548034 
8192, 10, 6, 4.149922e-08, 20.710253 
8192, 11, 6, 4.149922e-08, 21.657024 
8192, 12, 6, 4.149922e-08, 24.698582 
8192, 3, 7, 4.149922e-08, 19.288311 
8192, 2, 7, 4.149922e-08, 23.292544 
8192, 4, 7, 4.149922e-08, 19.206411 
8192, 1, 7, 4.149922e-08, 29.823366 
8192, 5, 7, 4.149922e-08, 19.815573 
8192, 6, 7, 4.149922e-08, 19.596262 
8192, 7, 7, 4.149922e-08, 19.970695 
8192, 8, 7, 4.149922e-08, 19.949742 
8192, 9, 7, 4.149922e-08, 20.771904 
8192, 10, 7, 4.149922e-08, 22.405544 
8192, 11, 7, 4.149922e-08, 22.614553 
8192, 12, 7, 4.149922e-08, 25.392966 
8192, 3, 8, 4.149922e-08, 18.576344 
8192, 2, 8, 4.149922e-08, 22.371536 
8192, 1, 8, 4.149922e-08, 26.683138 
8192, 4, 8, 4.149922e-08, 19.165653 
8192, 5, 8, 4.149922e-08, 19.717803 
8192, 6, 8, 4.149922e-08, 19.377394 
8192, 7, 8, 4.149922e-08, 20.226597 
8192, 8, 8, 4.149922e-08, 19.587251 
8192, 9, 8, 4.149922e-08, 21.823692 
8192, 10, 8, 4.149922e-08, 21.532886 
8192, 11, 8, 4.149922e-08, 22.339072 
8192, 12, 8, 4.149922e-08, 23.181030 
8192, 2, 9, 4.149922e-08, 20.825361 
8192, 1, 9, 4.149922e-08, 23.584962 
8192, 3, 9, 4.149922e-08, 19.616340 
8192, 4, 9, 4.149922e-08, 18.683440 
8192, 5, 9, 4.149922e-08, 19.805284 
8192, 6, 9, 4.149922e-08, 19.865249 
8192, 7, 9, 4.149922e-08, 19.923080 
8192, 8, 9, 4.149922e-08, 20.387533 
8192, 9, 9, 4.149922e-08, 21.546260 
8192, 10, 9, 4.149922e-08, 21.672762 
8192, 11, 9, 4.149922e-08, 23.629917 
8192, 12, 9, 4.149922e-08, 27.167372 
8192, 1, 10, 4.149922e-08, 21.629022 
8192, 2, 10, 4.149922e-08, 20.174553 
8192, 3, 10, 4.149922e-08, 19.797303 
8192, 4, 10, 4.149922e-08, 19.052285 
8192, 5, 10, 4.149922e-08, 20.256068 
8192, 6, 10, 4.149922e-08, 19.782887 
8192, 7, 10, 4.149922e-08, 20.053934 
8192, 8, 10, 4.149922e-08, 21.597210 
8192, 9, 10, 4.149922e-08, 21.784031 
8192, 10, 10, 4.149922e-08, 23.902075 
8192, 1, 11, 4.149922e-08, 20.180384 
8192, 11, 10, 4.149922e-08, 22.842183 
8192, 2, 11, 4.149922e-08, 20.781172 
8192, 12, 10, 4.149922e-08, 25.969571 
8192, 3, 11, 4.149922e-08, 19.733294 
8192, 4, 11, 4.149922e-08, 20.230809 
8192, 5, 11, 4.149922e-08, 19.519476 
8192, 6, 11, 4.149922e-08, 20.081757 
8192, 7, 11, 4.149922e-08, 19.923621 
8192, 8, 11, 4.149922e-08, 20.284477 
8192, 9, 11, 4.149922e-08, 21.704831 
8192, 10, 11, 4.149922e-08, 24.060272 
8192, 1, 12, 4.149922e-08, 18.464535 
8192, 11, 11, 4.149922e-08, 23.530144 
8192, 2, 12, 4.149922e-08, 20.452682 
8192, 12, 11, 4.149922e-08, 23.336891 
8192, 3, 12, 4.149922e-08, 20.392640 
8192, 4, 12, 4.149922e-08, 20.135555 
8192, 5, 12, 4.149922e-08, 19.625093 
8192, 6, 12, 4.149922e-08, 20.783770 
8192, 7, 12, 4.149922e-08, 21.116842 
8192, 8, 12, 4.149922e-08, 21.380735 
8192, 9, 12, 4.149922e-08, 21.676939 
8192, 10, 12, 4.149922e-08, 22.880144 
8192, 11, 12, 4.149922e-08, 25.646755 
8192, 12, 12, 4.149922e-08, 26.777527 
